Output,Time,Input1,Input2
529.43,5011.92,3.8,950.433
529.41,5027.04,3.8,951.558
529.36,5042.16,3.8,948.592
529.32,5057.28,3.9,947.967
529.25,5072.04,3.9,951.153
529.17,5087.16,3.9,951.997
529.09,5102.28,3.8,950.995
528.96,5117.04,3.9,952.993
528.84,5132.16,3.9,952.903
528.70,5146.92,3.9,951.463
528.53,5162.04,3.8,951.558
528.34,5177.16,3.8,953.494
528.14,5191.92,3.9,952.464
527.94,5207.04,3.8,952.807
527.71,5222.16,3.8,953.432
527.50,5237.28,3.8,954.057
527.22,5252.04,3.9,955.272
526.97,5267.16,3.8,957.304
526.69,5282.28,3.9,954.147
526.40,5297.04,3.8,956.364
526.11,5312.16,3.9,956.741
525.84,5326.92,3.8,957.895
525.52,5342.04,3.8,956.083
525.24,5357.16,3.8,955.177
524.91,5372.28,3.8,956.021
524.62,5387.04,3.8,957.208
524.30,5402.16,3.8,959.111
524.04,5417.28,3.8,958.958
523.75,5432.04,3.8,958.582
523.47,5447.16,3.8,955.835
523.22,5461.92,3.8,956.426
522.98,5477.04,3.8,958.081
522.72,5492.16,3.8,957.084
522.52,5506.92,3.8,960.27
522.32,5522.04,3.8,960.766
522.07,5537.16,3.8,960.236
521.92,5552.28,3.8,958.863
521.78,5567.04,3.8,957.895
521.59,5582.16,3.8,956.522
521.46,5597.28,3.8,956.364
521.32,5612.04,3.8,956.398
521.20,5627.16,3.8,955.306
521.08,5641.92,3.8,954.834
520.98,5657.04,3.8,953.556
520.88,5672.16,3.8,955.43
520.80,5687.28,3.8,953.275
520.70,5702.04,3.8,953.837
520.62,5717.16,3.8,952.402
520.56,5732.28,3.8,954.681
520.50,5747.04,3.8,954.901
520.42,5762.16,3.8,952.903
520.36,5776.92,3.8,954.586
520.30,5792.04,3.8,953.308
520.22,5807.16,3.8,951.558
520.16,5822.28,3.8,952.183
520.11,5837.04,3.8,954.929
520.04,5852.16,3.8,954.586
519.98,5867.28,3.9,952.588
519.90,5882.04,3.8,952.588
519.88,5897.16,3.8,950.371
519.82,5911.92,3.8,952.369
519.76,5927.04,3.8,952.807
519.71,5942.16,3.8,953.494
519.64,5956.92,3.8,953.651
519.59,5972.04,3.8,950.838
519.54,5987.16,3.8,951.339
519.48,6002.28,3.8,950.247
519.41,6017.04,3.8,951.525
519.36,6032.16,3.8,947.376
519.29,6047.28,3.8,952.087
519.22,6062.04,3.8,950.995
519.16,6077.16,3.8,950.967
519.10,6091.92,3.8,950.151
519.02,6107.04,3.9,951.277
518.95,6122.16,3.8,954.085
518.88,6137.28,3.8,954.462
518.83,6152.04,3.8,954.119
518.77,6167.16,3.9,956.117
518.70,6182.28,3.8,955.025
518.66,6197.04,3.8,954.181
518.56,6212.16,3.8,954.304
518.53,6228.36,3.9,956.77
518.47,6244.20,3.8,956.584
518.42,6258.96,3.8,958.081
518.37,6274.08,3.8,955.554
518.29,6289.20,3.9,956.522
518.24,6304.32,3.8,953.618
518.21,6319.08,3.8,955.992
518.16,6334.20,3.8,955.211
518.11,6348.96,3.8,957.394
518.08,6364.08,3.8,958.052
518.03,6379.20,3.8,956.898
517.99,6393.96,3.8,957.208
517.96,6409.08,3.8,959.583
517.92,6424.20,3.8,958.801
517.88,6439.32,3.8,960.551
517.85,6454.08,3.8,961.204
517.81,6469.20,3.8,958.396
517.80,6484.32,3.8,959.831
517.76,6499.08,3.8,959.612
517.73,6514.20,3.8,960.394
517.71,6528.96,3.8,961.643
517.67,6544.08,3.8,961.109
517.64,6559.20,3.8,962.578
517.62,6573.96,3.8,963.641
517.58,6589.08,3.8,963.107
517.55,6604.20,3.8,962.172
517.52,6619.32,3.8,963.202
517.49,6634.08,3.8,962.702
517.45,6649.20,3.8,961.643
517.40,6665.04,3.8,962.11
517.36,6680.16,4.2,964.232
517.34,6695.28,4.5,965.324
517.32,6710.04,4.6,965.949
517.29,6725.16,4.6,962.611
517.28,6739.92,4.6,962.33
517.28,6755.04,4.6,963.264
517.26,6770.16,4.6,962.015
517.23,6785.28,4.6,963.889
517.18,6800.04,4.6,964.514
517.12,6815.16,4.6,966.483
517.02,6830.28,4.6,965.262
516.91,6845.04,4.6,965.982
516.77,6860.16,4.6,966.512
516.62,6875.28,4.6,970.198
516.42,6890.04,4.6,966.512
516.21,6905.16,4.6,966.483
515.98,6920.28,4.6,965.296
515.74,6935.04,4.6,963.517
515.45,6950.16,4.6,964.857
515.18,6965.28,4.6,963.984
514.85,6980.04,4.6,963.546
514.54,6995.16,4.6,959.583
514.20,7010.28,4.6,959.206
513.85,7025.04,4.6,959.302
513.50,7040.16,4.6,958.768
513.12,7054.92,4.6,957.647
512.76,7070.04,4.6,955.711
512.39,7085.16,4.6,953.213
512.03,7100.28,4.6,951.777
511.65,7115.04,4.6,953.151
511.33,7130.16,4.6,955.211
510.98,7145.28,4.6,957.27
510.66,7160.04,4.6,956.145
510.35,7175.16,4.6,956.274
510.08,7190.28,4.6,958.52
509.79,7205.04,4.6,960.332
509.56,7220.16,4.6,957.99
509.31,7235.28,4.6,959.364
509.09,7250.04,4.6,957.585
508.88,7265.16,4.6,956.77
508.68,7280.28,4.6,958.706
508.51,7295.04,4.6,956.865
508.35,7310.16,4.6,957.99
508.21,7325.28,4.6,955.525
508.08,7340.04,4.6,958.424
507.95,7355.16,4.6,959.02
507.84,7370.28,4.6,959.33
507.73,7385.04,4.6,959.111
507.63,7400.16,4.6,958.925
507.54,7415.28,4.6,959.864
507.45,7430.04,4.6,958.896
507.38,7445.16,4.6,960.832
507.29,7460.28,4.6,959.392
507.23,7475.04,4.6,957.113
507.16,7490.16,4.6,957.833
507.08,7504.92,4.6,957.866
507.03,7520.04,4.6,958.834
506.97,7535.16,4.6,958.615
506.90,7550.28,4.6,958.615
506.87,7565.04,4.6,962.11
506.78,7580.16,4.6,961.328
506.74,7595.28,4.6,957.208
506.66,7611.12,4.6,957.394
506.62,7626.24,4.6,958.925
506.55,7641.00,4.6,956.741
506.52,7656.12,4.6,957.647
506.45,7671.24,4.6,955.587
506.41,7686.00,4.6,954.834
506.35,7701.12,4.6,956.117
506.29,7716.24,4.6,954.557
506.24,7731.00,4.6,957.614
506.21,7746.12,4.6,951.963
506.13,7761.24,4.6,953.871
506.08,7776.00,4.6,955.959
506.03,7791.12,4.6,959.488
505.97,7806.24,4.6,959.33
505.92,7821.00,4.6,961.3
